,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
128,vim-md-tags,vim-md-tags,zachhannum/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],nav-pages,{},12.0,12.0,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,77.0,77.0,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
129,mkdocs-spellcheck,spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,,,,3,True,1.0,,,,,,,,,,,,,,,,,,,,,
130,localsearch,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},108.0,108.0,6.0,https://pypi.org/project/mkdocs-localsearch,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
131,mkpdfs,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,{},66.0,66.0,9.0,https://pypi.org/project/mkpdfs-mkdocs,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
132,mkdocs-pandoc,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,{},78.0,78.0,4.0,https://pypi.org/project/mkdocs-pandoc,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
133,markdown-version-annotations,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},109.0,109.0,,https://pypi.org/project/markdown-version-annotations,,,,3,True,3.0,markdown_version_annotations,,,,,,,,,,,,,,,,,,,,
134,MkHack3rs,,,,['project'],charts,https://eskool.gitlab.io/mkhack3rs/,,,,,,,Hacks & Integrations for Mkdocs / Material Theme.,2,True,3.0,,,,,,eskool/mkhack3rs,https://gitlab.com/eskool/mkhack3rs,2021-05-01 11:44:57,1.0,,,4.0,0.0,2021-05-01 11:44:57.000000,,,,,,,
135,Windmill Dark,,noraj/mkdocs-windmill-dark,mkdocs-windmill-dark,['theme'],theming,{},,,4.0,https://pypi.org/project/mkdocs-windmill-dark,646.0,646.0,,2,True,3.0,,,windmill-dark,,,,,,,,,,,,,,,,,,
136,CustomMill,,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],theming,{},24.0,24.0,8.0,https://pypi.org/project/mkdocs-custommill,,,,2,True,3.0,,,custommill,,,,,,,,,,,,,,,,,,
137,SWAN,,swan-cern/mkdocs-swan,mkdocs-swan,['theme'],theming,{},12.0,12.0,5.0,https://pypi.org/project/mkdocs-swan,,,,2,True,3.0,,,swan,,,,,,,,,,,,,,,,,,
138,Moonstone,,byrnereese/mkdocs-moonstone,mkdocs-moonstone,['theme'],theming,{},18.0,18.0,,https://pypi.org/project/mkdocs-moonstone,,,,2,True,3.0,,,moonstone,,,,,,,,,,,,,,,,,,
139,Landing,,TEParsons/mkdocs-landing,mkdocs-landing,['theme'],theming,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-landing,107.0,107.0,,2,True,3.0,,,landing,,,,,,,,,,,,,,,,,,
140,mkdocs-typer2,mkdocs-typer2,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},54.0,54.0,2.0,https://pypi.org/project/mkdocs-typer2,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
141,markdownmermaid,markdownmermaid,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,{},138.0,138.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,,,A MkDocs plugin that support mermaid graph in markdown file.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
142,markdownwavedrom,markdownwavedrom,kuri65536/mkdocs-wavedrom-plugin,mkdocs-wavedrom-plugin,['plugin'],charts,{},16.0,16.0,,https://pypi.org/project/mkdocs-wavedrom-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
143,Termage,termage,bczsalba/Termage,Termage,['plugin'],charts,{},3.0,3.0,,https://pypi.org/project/Termage,67.0,67.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
144,import-statement,import-statement,Rj40x40/mkdocs-import-statement-plugin,mkdocs-import-statement-plugin,['plugin'],charts,{},4.0,4.0,,https://pypi.org/project/mkdocs-import-statement-plugin,120.0,120.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
145,mkdocs-resize-images,resize-images,JakubAndrysek/mkdocs-resize-images,mkdocs-resize-images,['plugin'],charts,{},13.0,13.0,,https://pypi.org/project/mkdocs-resize-images,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
