,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
206,mkdocs_safe_text,,mkdocs_safe_text,,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],html-css,{},10.0,10.0,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Mkdocs translations plugin,,translations,,,mkdocs-translations,['plugin'],i18n-l10n,https://pypi.org/project/mkdocs-translations/,,,,https://pypi.org/project/mkdocs-translations,,,Internationalization plugin for mkdocs.,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
208,mkdocs-copy-to-llm,,copy-to-llm,,leonardocustodio/mkdocs-copy-to-llm,mkdocs-copy-to-llm,['plugin'],integrations,{},7.0,7.0,4.0,https://pypi.org/project/mkdocs-copy-to-llm,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,mkdocs-issues-plugin,,mkdocs-issues-plugin,,mihaigalos/mkdocs-issues-plugin,mkdocs-issues-plugin,['plugin'],links-refs,{},1.0,1.0,3.0,https://pypi.org/project/mkdocs-issues-plugin,55.0,55.0,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
210,python-asciimathml,,,,ShadowKyogre/python-asciimathml,asciimathml,['markdown'],markdown,{},,,8.0,https://pypi.org/project/asciimathml,46.0,46.0,,1,True,3.0,,,,,,,,,,,,,,,,mdx_asciimathml,,,,,,,,,,
211,markdown-icons,,,,MadLittleMods/markdown-icons,markdown-iconfonts,['markdown'],markdown,{},,,4.0,https://pypi.org/project/markdown-iconfonts,41.0,41.0,,1,True,3.0,,,,,,,,,,,,,,,,iconfonts,,,,,,,,,,
212,Semantic WikiLinks Extension,,,,aleray/mdx_semanticwikilinks,mdx-semanticwikilinks,['markdown'],markdown,{},,,,https://pypi.org/project/mdx-semanticwikilinks,23.0,23.0,,1,True,3.0,,,,,,,,,,,,,,,,mdx_semanticwikilinks,,,,,,,,,,
213,select-files,,select-files,,supcik/mkdocs-select-files,mkdocs-select-files,['plugin'],nav-pages,{},9.0,9.0,,https://pypi.org/project/mkdocs-select-files,,,Filter pages for assignments.,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
214,pagenav-generator,,pagenav-generator,,Andre601/mkdocs-pagenav-generator,,['plugin'],nav-pages,{},,,2.0,,,,,1,True,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
215,MkRefs,,mkrefs,,DerwenAI/mkrefs,mkrefs,['plugin'],nav-pages,{},5.0,5.0,2.0,https://pypi.org/project/mkrefs,99.0,99.0,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
216,SWAN Gallery,,swangallery,,swan-cern/mkdocs-swangallery,mkdocs-swangallery,['plugin'],nav-pages,{},3.0,3.0,3.0,https://pypi.org/project/mkdocs-swangallery,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
217,mkdocs-autozip,,autozip,,martinohanlon/mkdocs_autozip,mkdocs-autozip,['plugin'],site-conversion,{},,,,https://pypi.org/project/mkdocs-autozip,116.0,116.0,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
218,multirepo,,,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],site-management,{},3.0,3.0,3.0,https://pypi.org/project/mkdocs-multirepo,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
219,mkdocs-auto-refresh-build-pages,,auto-refresh-build-pages,,JakubAndrysek/mkdocs-auto-refresh-build-pages,mkdocs-auto-refresh-build-pages,['plugin'],site-management,{},7.0,7.0,,https://pypi.org/project/mkdocs-auto-refresh-build-pages,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,docSkimmer,docskimmer,,,hfagerlund/mkdocs-docskimmer,,['theme'],theming,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Alabaster,alabaster,,,notpushkin/mkdocs-alabaster,mkdocs-alabaster,['theme'],theming,{},,,10.0,https://pypi.org/project/mkdocs-alabaster,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Torillic,torillic,,,TEParsons/torillic,mkdocs-torillic,['theme'],theming,{},,,4.0,https://pypi.org/project/mkdocs-torillic,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,automacdoc,,,,AlexandreKempf/automacdoc,automacdoc,[],api-docs,{},,,6.0,https://pypi.org/project/automacdoc,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,doxygen,,doxygen,,pieterdavid/mkdocs-doxygen-plugin,,['plugin'],api-docs,{},,,3.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,mktheapidocs,,mktheapidocs,,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,{},,,6.0,https://pypi.org/project/mktheapidocs,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,mkdocs-yaarg-plugin,,yaarg,,g6123/mkdocs-yaarg-plugin,mkdocs-yaarg-plugin,['plugin'],api-docs,{},2.0,2.0,,https://pypi.org/project/mkdocs-yaarg-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,mkdocs-typer,,,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,{},,,,https://pypi.org/project/mkdocs-typer,,,,0,True,,,,,,,,,,,,,,,,,mkdocs-typer,,,,,,,,,,
228,mkdocstrings-matlab,,,,watermarkhu/mkdocstrings-matlab,mkdocstrings-matlab,,api-docs,{},2.0,2.0,5.0,https://pypi.org/project/mkdocstrings-matlab,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,mkdocs-azure-pipelines,,mkdocs-azure-pipelines,,Wesztman/mkdocs-azure-pipelines,mkdocs-azure-pipelines,['plugin'],api-docs,{},2.0,2.0,3.0,https://pypi.org/project/mkdocs-azure-pipelines,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,mkdocs-apidescribed-plugin,,apidescribed,,idlesign/mkdocs-apidescribed-plugin,mkdocs-apidescribed-plugin,['plugin'],api-docs,{},2.0,2.0,,https://pypi.org/project/mkdocs-apidescribed-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,blog,,blog,,andyoakley/mkdocs-blog,,['plugin'],blogging,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,{},,,20.0,https://pypi.org/project/mkdocs-rss-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,python-mkblog,,mkblog,,derJD/python-mkblog,mkblog,['plugin'],blogging,{},,,2.0,https://pypi.org/project/mkblog,75.0,75.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,{},,,10.0,https://pypi.org/project/mkdocs-table-reader-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,charts,,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,{},,,5.0,https://pypi.org/project/mkdocs-charts-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,sequence-js,,sequence-js,,fcannizzaro/mkdocs-sequence-js-plugin,,['plugin'],charts,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,import-statement,,import-statement,,Rj40x40/mkdocs-import-statement-plugin,mkdocs-import-statement-plugin,['plugin'],charts,{},,,,https://pypi.org/project/mkdocs-import-statement-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,plotly charts,,plotly,,haoda-li/mkdocs-plotly-plugin,mkdocs-plotly-plugin,['plugin'],charts,{},,,4.0,https://pypi.org/project/mkdocs-plotly-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Markdown aafigure,,,,mbarkhau/markdown-aafigure,markdown-aafigure,['markdown'],charts,{},,,2.0,https://pypi.org/project/markdown-aafigure,94.0,94.0,,0,True,,,,,,,,,,,,,,,,,markdown_aafigure,,,,,,,,,,
240,Family tree example,,,,unverbuggt/mkdocs-familytree-example,,[],charts,{},,,6.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,thumbnails,,thumbnails,,normanlorrain/mkdocs-thumbnails,mkdocs-thumbnails,['plugin'],charts,{},,,,https://pypi.org/project/mkdocs-thumbnails,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,mkdocs-bpmn-js,,bpmn-js,,madebyherzblut/mkdocs-bpmn-js,mkdocs-bpmn-js,['plugin'],charts,{},1.0,1.0,,https://pypi.org/project/mkdocs-bpmn-js,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,pheasant,,pheasant,,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,{},,,4.0,https://pypi.org/project/pheasant,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,jinja2sandbox,,jinja2sandbox,,rkoe/mkdocs-jinja2sandbox,,['plugin'],code-exec-templating,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,mkdocs-markmap,,markmap,,markmap/mkdocs-markmap,mkdocs-markmap,['plugin'],code-exec-templating,{},,,3.0,https://pypi.org/project/mkdocs-markmap,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,mkdocs-jupyterlite,,jupyterlite,,NickCrews/mkdocs-jupyterlite,mkdocs-jupyterlite,['plugin'],code-exec-templating,{},,,3.0,https://pypi.org/project/mkdocs-jupyterlite,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,git-latest-release,,git-latest-release,,agarthetiger/mkdocs_latest_release_plugin,mkdocs-latest-release-plugin,['plugin'],git-info,{},,,3.0,https://pypi.org/project/mkdocs-latest-release-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Github-Links,,,,Python-Markdown/github-links,mdx-gh-links,['markdown'],git-info,{},,,5.0,https://pypi.org/project/mdx-gh-links,,,,0,True,,,,,,,,,,,,,,,,,mdx_gh_links,,,,,,,,,,
249,docstyler,,docstyler,,hfagerlund/mkdocs-docstyler-plugin,,['plugin'],html-css,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,toggle-sidebar,,toggle-sidebar,,six-two/mkdocs-toggle-sidebar-plugin,mkdocs-toggle-sidebar-plugin,['plugin'],html-css,{},,,3.0,https://pypi.org/project/mkdocs-toggle-sidebar-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,mk-append-to-head,,mk-append-to-head,,marcelaodev/mk-append-to-head,mk-append-to-head,['plugin'],html-css,{},,,,https://pypi.org/project/mk-append-to-head,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,mkdocs-mdpo,,mdpo,,mondeja/mkdocs-mdpo-plugin,mkdocs-mdpo-plugin,['plugin'],i18n-l10n,{},,,4.0,https://pypi.org/project/mkdocs-mdpo-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,swagger,,swagger,,allevo/mkdocs-swagger-plugin,,['plugin'],integrations,{},,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,factsheet,,factsheet,,inuits/mkdocs-factsheet,,['plugin'],integrations,{},,,4.0,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,MkDocs Dependency License Information,,mkdocs_licenseinfo,,djpugh/mkdocs_licenseinfo,mkdocs-licenseinfo,['plugin'],integrations,{},,,2.0,https://pypi.org/project/mkdocs-licenseinfo,138.0,138.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Vercel Password Protection,,vercel_pw,,six-two/mkdocs-vercel-pw-plugin,mkdocs-vercel-pw-plugin,['plugin'],integrations,{},,,,https://pypi.org/project/mkdocs-vercel-pw-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,mkdocs-mcp,,mcp,,ubaumann/mkdocs-mcp,mkdocs-mcp,['plugin'],integrations,{},,,,https://pypi.org/project/mkdocs-mcp,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Autolink References,,autolink_references,,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,{},,,3.0,https://pypi.org/project/autolink-references-mkdocs-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,ArgRef,,argref,,rhshadrach/mkdocs-argref-plugin,mkdocs-argref-plugin,['plugin'],links-refs,{},,,5.0,https://pypi.org/project/mkdocs-argref-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,{},,,9.0,https://pypi.org/project/mkdocs-autorefs,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,ezglossary,,ezglossary,,realtimeprojects/mkdocs-ezglossary,mkdocs-ezglossary-plugin,['plugin'],links-refs,{},,,6.0,https://pypi.org/project/mkdocs-ezglossary-plugin,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
