,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,projectrank,show,projectrank_placing,watchers_count,dependent_project_count,github_dependent_project_count,pypi_monthly_downloads,monthly_downloads,markdown_extension,extra_dependencies,mkdocs_theme,trending,shadowed,gitlab_id,gitlab_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
117,same-dir,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],,site-management,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-same-dir,4,True,2.0,,577.0,577.0,,,,,,,,,,,,,,,
118,git snippet,gitsnippet,SamazoOo/mkdocs-gitsnippet-plugin,mkdocs-gitsnippet-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-gitsnippet-plugin,4,True,3.0,,14.0,14.0,579.0,579.0,,,,,,,,,,,,,
119,MkDocs Graphviz,,,mkdocs-graphviz,['markdown'],,charts,,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,2021-05-03 14:28:32.000000,,,1.0,,6.0,5.0,6.0,,,5.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",,https://pypi.org/project/mkdocs-graphviz,3,True,3.0,,,,,,mkdocs_graphviz,,,,,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,,,
120,KPN for MkDocs,,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],,theming,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mkdocs-kpn,3,True,2.0,,8.0,8.0,503.0,503.0,,,kpn,,,,,,,,,,
121,Simple Blog,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],,theming,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-simple-blog,3,True,2.0,,98.0,98.0,,,,,simple-blog,,,,,,,,,,
122,Dracula,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],,theming,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-dracula-theme,3,True,2.0,,156.0,156.0,,,,,dracula,,,,,,,,,,
123,Shadcn,"['shadcn/search', 'shadcn/excalidraw']",asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",,theming,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-shadcn,3,True,2.0,,96.0,96.0,,,,,shadcn,,,,,,,,,,
124,inari,inari,tkamenoko/inari,inari,['plugin'],,api-docs,,{},,,,,,,,,,,,,,,https://pypi.org/project/inari,3,True,3.0,,9.0,9.0,154.0,154.0,,,,,,,,,,,,,
125,mkdoxy,mkdoxy,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],,api-docs,,{},,,,,,,,,,,,,,18.0,https://pypi.org/project/mkdoxy,3,True,3.0,,75.0,75.0,,,,,,,,,,,,,,,
126,newsletter,mkdocs-newsletter,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],,blogging,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-newsletter,3,True,3.0,,81.0,81.0,,,,,,,,,,,,,,,
127,Publisher for MkDocs - blog,pub-blog,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],,blogging,,{},,,,,,,,,,,,,"Blogging engine with support for categories, tags and archive.",4.0,https://pypi.org/project/mkdocs-publisher,3,True,3.0,,101.0,101.0,,,,,,,,,,,,,,,
128,mkdocs_puml,plantuml,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],,charts,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-puml,3,True,3.0,,81.0,81.0,,,,,,,,,,,,,,,
129,kroki,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,19.0,https://pypi.org/project/mkdocs-kroki-plugin,3,True,3.0,,94.0,94.0,,,,,,,,,,,,,,,
130,plotly charts,plotly,haoda-li/mkdocs-plotly-plugin,mkdocs-plotly-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-plotly-plugin,3,True,3.0,,,,2912.0,2912.0,,,,,,,,,,,,,
131,Interactive Graph,obsidian-interactive-graph,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,3,True,3.0,,53.0,53.0,,,,,,,,,,,,,,,
132,panzoom,panzoom,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,3,True,3.0,,82.0,82.0,,,,,,,,,,,,,,,
