,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
67,MkDocs Graphviz,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,,,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",3,True,2.0,,,,,mkdocs_graphviz,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,3.0,2021-05-03 14:28:32.000000,,,,,,,
68,Nature,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,,,,3,True,2.0,nature,,,,,,,,,,,,,,,,,,,,
69,Simple Blog,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},97.0,97.0,5.0,https://pypi.org/project/mkdocs-simple-blog,,,,3,True,2.0,simple-blog,,,,,,,,,,,,,,,,,,,,
70,Terminal for MkDocs,['terminal/md-to-html'],ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,{},170.0,170.0,4.0,https://pypi.org/project/mkdocs-terminal,,,,3,True,2.0,terminal,,,,,,,,,,,,,,,,,,,,
71,Shadcn,"['shadcn/search', 'shadcn/excalidraw']",asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",theming,{},91.0,91.0,6.0,https://pypi.org/project/mkdocs-shadcn,,,,3,True,2.0,shadcn,,,,,,,,,,,,,,,,,,,,
72,mkdoxy,mkdoxy,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},73.0,73.0,18.0,https://pypi.org/project/mkdoxy,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
73,mkdocs-api-autonav,api-autonav,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,{},299.0,299.0,2.0,https://pypi.org/project/mkdocs-api-autonav,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
74,newsletter,mkdocs-newsletter,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,{},81.0,81.0,3.0,https://pypi.org/project/mkdocs-newsletter,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
75,Publisher for MkDocs - blog,pub-blog,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,"Blogging engine with support for categories, tags and archive.",3,True,3.0,,,,,,,,,,,,,,,,,,,,,
76,mkdocs_puml,plantuml,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,{},81.0,81.0,10.0,https://pypi.org/project/mkdocs-puml,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
77,mkdocs-diagrams,diagrams,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,{},86.0,86.0,,https://pypi.org/project/mkdocs-diagrams,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
78,Markdown blockdiag,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,,,,3,True,2.0,,,,,markdown_blockdiag,,,,,,,,,,,,,,,,
79,markdown-captions,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,,,,3,True,2.0,,,,,markdown_captions,,,,,,,,,,,,,,,,
80,Interactive Graph,obsidian-interactive-graph,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],charts,{},53.0,53.0,4.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
81,panzoom,panzoom,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,{},75.0,75.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
82,mkdocs-data-plugin,data,joapuiib/mkdocs-data-plugin,mkdocs-data-plugin,['plugin'],code-exec-templating,{},5.0,5.0,,https://pypi.org/project/mkdocs-data-plugin,,,,3,True,3.0,,,,MIT,,,,,,,,,,,,,,,,,
83,document-dates,document-dates,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},66.0,66.0,4.0,https://pypi.org/project/mkdocs-document-dates,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
84,bootstrap-tables,bootstrap-tables,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,{},114.0,114.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
85,add-number,add-number,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
86,minify-html,minify_html,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
87,mkdocs-extra-sass-plugin,extra-sass,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},94.0,94.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
88,Publisher for MkDocs - social,pub-social,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,Social media sharing helper.,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
