,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,markdown_extension,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
39,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8053.0,8053.0,18.0,https://pypi.org/project/mkdocs-redirects,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,
40,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5404.0,5404.0,Automatic navigation based on files metadata with URL name and publication status control.,6,True,1.0,,,,,,,,,,,,,,,,,,,
41,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5404.0,5404.0,Advanced console and file logger from build and serve process.,6,True,3.0,,,,,,,,,,,,,,,,,,,
42,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8054.0,8054.0,12.0,https://pypi.org/project/markdown-include,,,,6,True,3.0,,markdown_include.include,,,,,,,,,,,,,,,,,
43,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1272.0,1272.0,10.0,https://pypi.org/project/mkdocs-bootswatch,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
44,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1282.0,1282.0,16.0,https://pypi.org/project/mkdocs-click,,,,5,True,2.0,,mkdocs-click,,,,,,,,,,,,,,,,,
45,mkdocstrings-shell,,,,mkdocstrings/shell,,,api-docs,{},75.0,75.0,,,,,,5,True,2.0,ISC,,,,,,,,,,,,,,,,,,
46,table-reader,,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,{},,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,219687.0,219687.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
47,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1169.0,1169.0,5.0,https://pypi.org/project/mkdocs-video,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
48,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},880.0,880.0,6.0,https://pypi.org/project/markdown-exec,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
49,mkdocs-data-plugin,,data,,joapuiib/mkdocs-data-plugin,mkdocs-data-plugin,['plugin'],code-exec-templating,{},5.0,5.0,,https://pypi.org/project/mkdocs-data-plugin,585.0,585.0,,5,True,2.0,MIT,,,,,,,,,,,,,,,,,,
50,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1969.0,1969.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
51,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1642.0,1642.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,,,An MkDocs plugin to create a list of contributors on the page.,5,True,2.0,,,,,,,,,,,,,,,,,,,
52,mkdocs-git-latest-changes-plugin,,git-latest-changes,,tombreit/mkdocs-git-latest-changes-plugin,mkdocs-git-latest-changes-plugin,['plugin'],git-info,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-git-latest-changes-plugin,18775.0,18775.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
53,bootstrap-tables,,bootstrap-tables,,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,{},114.0,114.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,576.0,576.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
54,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2685.0,2685.0,14.0,https://pypi.org/project/mkdocs-static-i18n,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
55,MkDocs asciinema-player,,asciinema-player,,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,{},23.0,23.0,7.0,https://pypi.org/project/mkdocs-asciinema-player,1300.0,1300.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
56,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1450.0,1450.0,3.0,https://pypi.org/project/mkdocs-callouts,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
57,Markdown Inline Graphviz,,,,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,{},,,9.0,https://pypi.org/project/markdown-inline-graphviz-extension,85131.0,85131.0,,5,True,2.0,,markdown_inline_graphviz,,,,,,,,,,,,,,,,,
58,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3205.0,3205.0,,https://pypi.org/project/mkdocs-exclude,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
59,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3812.0,3812.0,,https://pypi.org/project/mkdocs-literate-nav,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
60,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1275.0,1275.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
61,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2336.0,2336.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
62,schema-reader,,schema_reader,,magicaljellybeans/mkdocs_schema_reader,mkdocs-schema-reader,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-schema-reader,3013.0,3013.0,,5,True,1.0,MIT,,,,,,,,,,,,,,,,,,
63,include directory to navigation,,include_dir_to_nav,,mysiki/mkdocs_include_dir_to_nav,mkdocs-include-dir-to-nav,['plugin'],nav-pages,{},,,,https://pypi.org/project/mkdocs-include-dir-to-nav,64661.0,64661.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,
64,mkdocs-breadcrumbs-plugin,,mkdocs-breadcrumbs-plugin,,mihaigalos/mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,['plugin'],nav-pages,{},13.0,13.0,5.0,https://pypi.org/project/mkdocs-breadcrumbs-plugin,1657.0,1657.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,
65,mkdocs-task-collector,,task-collector,,costantinoai/mkdocs-task-collector,mkdocs-task-collector,['plugin'],search-toc,{},5.0,5.0,2.0,https://pypi.org/project/mkdocs-task-collector,188353.0,188353.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,
66,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},929.0,929.0,6.0,https://pypi.org/project/mkdocs-with-pdf,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
67,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1530.0,1530.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
68,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,{},177.0,177.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,,,,5,True,3.0,MIT,,,,,,,,,,,,,,,,,,
69,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,,,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,4,True,2.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,,
